Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
88_ITS2,Sydney_2015_Soft coral (Capnella)_site 2_b,Host,Capnella gaboensis,Summer,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
89_ITS2,Sydney_2015_Soft coral (Capnella)_site 2_c,Host,Capnella gaboensis,Summer,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
90_ITS2,Sydney_2015_Soft coral (Capnella)_site 2_d,Host,Capnella gaboensis,Summer,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
5_ITS2,Sydney_2015_Soft coral (Capnella)_site 3_a,Host,Capnella gaboensis,Summer,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
91_ITS2,Sydney_2015_Soft coral (Capnella)_site 3_b,Host,Capnella gaboensis,Summer,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
92_ITS2,Sydney_2015_Soft coral (Capnella)_site 3_c,Host,Capnella gaboensis,Summer,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
93_ITS2,Sydney_2015_Soft coral (Capnella)_site 3_d,Host,Capnella gaboensis,Summer,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
34_ITS2,Sydney_2015_Water_site 1_a,Environment,Water,Summer,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
171_ITS2,Sydney_2015_Water_site 1_b,Environment,Water,Summer,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
172_ITS2,Sydney_2015_Water_site 1_c,Environment,Water,Summer,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
173_ITS2,Sydney_2015_Water_site 1_d,Environment,Water,Summer,Site_1,D,Temperate,x,x,x,x,x,x,n,n,n,n
35_ITS2,Sydney_2015_Water_site 2_a,Environment,Water,Summer,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
174_ITS2,Sydney_2015_Water_site 2_b,Environment,Water,Summer,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
175_ITS2,Sydney_2015_Water_site 2_c,Environment,Water,Summer,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
176_ITS2,Sydney_2015_Water_site 2_d,Environment,Water,Summer,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
36_ITS2,Sydney_2015_Water_site 3_a,Environment,Water,Summer,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
177_ITS2,Sydney_2015_Water_site 3_b,Environment,Water,Summer,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
178_ITS2,Sydney_2015_Water_site 3_c,Environment,Water,Summer,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
179_ITS2,Sydney_2015_Water_site 3_d,Environment,Water,Summer,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
94_ITS2,Sydney_2016_Coral (Plesiastrea)_site 1_a,Host,Plesiastrea versipora,Bleaching,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
95_ITS2,Sydney_2016_Coral (Plesiastrea)_site 1_b,Host,Plesiastrea versipora,Bleaching,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
96_ITS2,Sydney_2016_Coral (Plesiastrea)_site 1_c,Host,Plesiastrea versipora,Bleaching,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
97_ITS2,Sydney_2016_Coral (Plesiastrea)_site 1_d,Host,Plesiastrea versipora,Bleaching,Site_1,D,Temperate,x,x,x,x,x,x,n,n,n,n
98_ITS2,Sydney_2016_Coral (Plesiastrea)_site 2_a,Host,Plesiastrea versipora,Bleaching,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
99_ITS2,Sydney_2016_Coral (Plesiastrea)_site 2_b,Host,Plesiastrea versipora,Bleaching,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
100_ITS2,Sydney_2016_Coral (Plesiastrea)_site 2_c,Host,Plesiastrea versipora,Bleaching,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
101_ITS2,Sydney_2016_Coral (Plesiastrea)_site 2_d,Host,Plesiastrea versipora,Bleaching,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
102_ITS2,Sydney_2016_Coral (Plesiastrea)_site 3_a,Host,Plesiastrea versipora,Bleaching,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
103_ITS2,Sydney_2016_Coral (Plesiastrea)_site 3_b,Host,Plesiastrea versipora,Bleaching,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
104_ITS2,Sydney_2016_Coral (Plesiastrea)_site 3_c,Host,Plesiastrea versipora,Bleaching,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
